,content,time,author
188,$givek <@332167919335243778> 500,2021-10-17 15:46:33.440,490180796804497419
189,xav this ugly ass <@!332167919335243778>,2021-10-17 16:44:09.721,386643626530308096
190,<@!528580754683461632>,2021-10-17 16:47:44.373,345445833489121280
191,<@!386643626530308096>,2021-10-17 17:08:45.865,377787590729924608
192,$mmrk <@!332167919335243778>,2021-10-17 18:46:18.790,377787590729924608
193,.give <@!332167919335243778> 1,2021-10-17 19:05:43.168,377787590729924608
194,owopat <@!490180796804497419>,2021-10-17 19:15:12.828,377787590729924608
195,suda suda tidur bund <@!490180796804497419>,2021-10-17 19:18:27.107,377787590729924608
196,owoavatar <@!892355468314435594>,2021-10-17 19:22:11.539,377787590729924608
197,owohug <@!892355468314435594>,2021-10-17 19:29:26.727,377787590729924608
198,owopat <@!490180796804497419>,2021-10-17 19:32:24.598,377787590729924608
199,<@386643626530308096> juga,2021-10-17 19:40:31.193,490180796804497419
200,owopat <@456226577798135808>,2021-10-17 19:54:36.120,377787590729924608
201,Owokill <@377787590729924608>,2021-10-17 20:02:09.354,490180796804497419
202,Owokill <@377787590729924608>,2021-10-17 20:07:57.587,490180796804497419
203,Owohug <@386643626530308096>,2021-10-17 20:08:06.941,490180796804497419
204,Owokiss <@377787590729924608>,2021-10-17 20:08:27.445,490180796804497419
205,owohug <@490180796804497419>,2021-10-17 20:08:53.494,386643626530308096
206,Owokill <@377787590729924608>,2021-10-17 20:08:58.128,490180796804497419
207,Thankss <@377787590729924608> <@386643626530308096>,2021-10-17 20:09:31.782,490180796804497419
208,Owokiss <@377787590729924608> <@386643626530308096>,2021-10-17 20:09:41.568,490180796804497419
209,Owokill <@377787590729924608>,2021-10-17 20:11:28.696,490180796804497419
210,<@!386643626530308096> what raid u in?,2021-10-18 02:38:09.567,377787590729924608
211,.trade <@!386643626530308096>,2021-10-18 02:42:18.365,377787590729924608
212,.give <@!332167919335243778> 1,2021-10-18 02:44:16.811,377787590729924608
213,owopray <@!386643626530308096>,2021-10-18 02:44:29.540,377787590729924608
214,wait <@!386643626530308096>,2021-10-18 02:47:00.981,377787590729924608
215,.give <@!386643626530308096> 75000,2021-10-18 02:49:23.969,377787590729924608
216,.trade <@!386643626530308096>,2021-10-18 02:49:29.069,377787590729924608
217,owopat <@!386643626530308096>,2021-10-18 02:52:40.927,377787590729924608
218,owopray <@!386643626530308096>,2021-10-18 02:54:54.729,377787590729924608
219,owopray <@377787590729924608>,2021-10-18 02:55:03.254,386643626530308096
220,owoslap <@!490180796804497419>,2021-10-18 03:27:22.567,377787590729924608
221,<@377787590729924608> anj,2021-10-18 04:15:26.776,332167919335243778
222,hah lu sendiri? <@456226577798135808>,2021-10-18 04:41:47.042,377787590729924608
223,<@!377787590729924608>,2021-10-18 04:51:07.557,528580754683461632
224,rpg boo <@!528580754683461632>,2021-10-18 04:53:50.864,377787590729924608
225,rpg hal boo <@!377787590729924608>,2021-10-18 04:54:38.665,528580754683461632
226,rpg hal boo <@!528580754683461632>,2021-10-18 04:57:41.254,377787590729924608
227,roo <@!386643626530308096>,2021-10-18 05:29:05.980,377787590729924608
228,<@!377787590729924608> jec boo aku,2021-10-18 05:34:25.083,528580754683461632
229,.give <@456226577798135808> 30000,2021-10-18 05:38:42.786,528580754683461632
230,.give <@!490180796804497419> 30000,2021-10-18 05:39:03.785,528580754683461632
231,<@!490180796804497419> eh bener kan kasi di sini?,2021-10-18 05:39:17.971,528580754683461632
232,gila chel kapan selesai itu raid <@456226577798135808>,2021-10-18 06:40:19.955,377787590729924608
233,.g <@!528580754683461632>,2021-10-18 08:06:21.459,377787590729924608
234,.g <@!528580754683461632>,2021-10-18 08:06:24.403,377787590729924608
235,.g <@!386643626530308096>,2021-10-18 08:09:57.955,528580754683461632
236,.g <@!332167919335243778>,2021-10-18 08:10:10.547,377787590729924608
237,"<@!377787590729924608> Selling SR motoyasu evo 3 390k
ini ya",2021-10-18 08:15:08.569,528580754683461632
238,.g <@!377787590729924608>,2021-10-18 08:15:25.094,528580754683461632
239,.g <@!345445833489121280>,2021-10-18 08:15:46.490,377787590729924608
240,.g <@!377787590729924608>,2021-10-18 08:21:24.404,345445833489121280
241,$givek <@!292567325855711235> 2247,2021-10-18 09:01:54.681,887620839107870740
242,<@!490180796804497419> gojo lu jual?,2021-10-18 09:06:44.043,345445833489121280
243,<@!386643626530308096> mau ga je,2021-10-18 09:22:41.422,528580754683461632
244,.trade <@!386643626530308096>,2021-10-18 09:28:10.400,377787590729924608
245,.tr <@377787590729924608>,2021-10-18 09:28:16.662,386643626530308096
246,.trade <@377787590729924608>,2021-10-18 10:02:38.076,386643626530308096
247,<@377787590729924608>,2021-10-18 10:03:20.091,386643626530308096
248,.trade <@377787590729924608>,2021-10-18 10:40:38.551,386643626530308096
249,<@345445833489121280> kejual ama mudae,2021-10-18 10:43:02.428,490180796804497419
250,$givek <@!490180796804497419> 1,2021-10-18 10:46:04.731,377787590729924608
251,<@!345445833489121280>,2021-10-18 10:48:47.930,377787590729924608
252,$mmkr <@!292567325855711235>,2021-10-18 12:20:43.038,528580754683461632
253,owoboop <@!386643626530308096>,2021-10-18 12:53:17.684,887620839107870740
254,owowave <@!386643626530308096>,2021-10-18 12:53:21.384,345445833489121280
255,makan dulu <@!377787590729924608>,2021-10-18 12:53:58.419,490180796804497419
256,owowave <@345445833489121280>,2021-10-18 12:54:07.358,386643626530308096
257,<@!386643626530308096>,2021-10-18 12:54:38.373,887620839107870740
258,<@!332167919335243778>,2021-10-18 14:09:05.018,386643626530308096
259,<@!377787590729924608> KERJA WOI ANJ,2021-10-18 14:42:34.511,332167919335243778
260,but wheres my gojo <@!432610292342587392>,2021-10-18 15:53:55.820,490180796804497419
261,<@!345445833489121280> ca minjem duit,2021-10-18 16:08:48.623,528580754683461632
262,<@!345445833489121280>,2021-10-18 16:09:05.046,528580754683461632
263,.give <@!528580754683461632> 50000,2021-10-18 16:09:44.885,345445833489121280
264,.give <@!528580754683461632> 1100,2021-10-18 16:13:13.270,490180796804497419
265,.g <@!528580754683461632>,2021-10-18 16:13:58.752,377787590729924608
266,.give <@!528580754683461632> 8,2021-10-18 16:14:07.454,377787590729924608
267,owoslap <@!377787590729924608>,2021-10-18 16:14:53.159,345445833489121280
268,owokill <@!377787590729924608>,2021-10-18 16:15:38.483,490180796804497419
269,owokill <@!377787590729924608>,2021-10-18 16:16:02.900,490180796804497419
270,.give <@!528580754683461632> 69,2021-10-18 16:17:09.802,490180796804497419
271,<@!377787590729924608> cakep ya,2021-10-18 16:30:19.610,490180796804497419
272,<@456226577798135808>,2021-10-18 16:31:12.500,377787590729924608
273,<@!332167919335243778>,2021-10-18 16:35:19.927,490180796804497419
274,<@!332167919335243778>,2021-10-18 16:35:32.898,490180796804497419
275,<@456226577798135808>,2021-10-18 16:38:37.837,377787590729924608
276,owoab <@!490180796804497419>,2021-10-18 16:47:33.443,345445833489121280
277,owob <@!345445833489121280>,2021-10-18 16:47:37.935,490180796804497419
278,owob <@!345445833489121280>,2021-10-18 16:48:11.658,490180796804497419
279,<@456226577798135808>,2021-10-18 16:55:28.795,377787590729924608
280,<@456226577798135808>,2021-10-18 16:56:24.987,377787590729924608
281,https://vt.tiktok.com/ZSeFJq8oT/ <@377787590729924608>,2021-10-18 17:02:25.562,490180796804497419
282,<@!490180796804497419>,2021-10-18 18:28:02.763,377787590729924608
283,owoavatar <@!892355468314435594>,2021-10-18 19:31:23.477,377787590729924608
284,owoslap <@!490180796804497419>,2021-10-18 19:54:38.438,377787590729924608
285,ro mau ikut? <@!386643626530308096>,2021-10-19 02:25:14.052,377787590729924608
286,<@!386643626530308096>,2021-10-19 02:28:33.020,377787590729924608
287,<@!386643626530308096>,2021-10-19 02:31:40.508,377787590729924608
288,<@!377787590729924608> cok koe blm boo aku,2021-10-19 03:12:49.057,528580754683461632
289,rpg boo <@!377787590729924608>,2021-10-19 03:12:54.753,528580754683461632
